Name,CGPA,Budget_Preference,Education_Level,Country_Preference,Domain_Area,Scholarship_Name,Scholarship_Type,Scholarship_Budget,Education_Preference,Country_of_Scholarship,Eligible_Domain,Target
Person2040,2.91,2500,PhD,Australia,Finance,Scholarship2040,Need-Based,6000,Bachelor,Canada,Business Administration,0
Person145,3.43,5000,PhD,USA,Computer Science,Scholarship145,Need-Based,7000,Bachelor,Australia,Medical Research,0
Person2202,2.88,8500,PhD,UK,Chemistry,Scholarship2202,Need-Based,4500,Bachelor,UK,Fine Arts,0
Person1104,2.93,3500,Bachelor,USA,Electrical Engineering,Scholarship1104,Need-Based,5500,Bachelor,Australia,Physics,0
Person563,3.27,7500,PhD,Canada,Computer Science,Scholarship563,Merit-Based,5000,Master,USA,Finance,0
Person2783,3.29,500,Master,Canada,Fine Arts,Scholarship2783,Need-Based,5500,Bachelor,Australia,Business Administration,0
Person2416,3.82,8000,Bachelor,Australia,Physics,Scholarship2416,Need-Based,9500,Bachelor,Canada,Chemistry,0
Person1111,3.58,8000,PhD,Canada,History,Scholarship1111,Need-Based,9000,Master,Australia,Chemistry,0
Person183,2.96,5000,Master,Canada,Electrical Engineering,Scholarship183,Merit-Based,7000,PhD,UK,Physics,0
Person2302,2.98,9500,Master,Canada,Finance,Scholarship2302,Need-Based,7000,PhD,UK,History,0
Person2115,2.96,4500,Bachelor,Australia,Medical Research,Scholarship2115,Need-Based,5000,Bachelor,UK,History,0
Person2026,2.53,3000,Master,USA,Medical Science,Scholarship2026,Need-Based,7000,Master,USA,Fine Arts,0
Person138,2.66,2000,PhD,UK,History,Scholarship138,Need-Based,500,Bachelor,USA,Chemistry,0
Person378,2.82,7500,Master,UK,Physics,Scholarship378,Need-Based,2500,Master,UK,Physics,1
Person418,3.43,8000,Master,Australia,Electrical Engineering,Scholarship418,Need-Based,1500,Bachelor,Australia,Fine Arts,0
Person823,3.64,500,Bachelor,USA,Medical Science,Scholarship823,Merit-Based,2000,Master,USA,Medical Science,0
Person2242,3.2,9000,Master,Australia,Physics,Scholarship2242,Need-Based,1000,PhD,Australia,Chemistry,0
Person1829,3.29,9500,Master,UK,Computer Science,Scholarship1829,Merit-Based,6500,Bachelor,Australia,Business Administration,0
Person2939,2.62,3000,PhD,USA,History,Scholarship2939,Need-Based,9500,Bachelor,USA,Medical Science,0
Person1368,3.23,5000,PhD,USA,Physics,Scholarship1368,Need-Based,8000,Master,USA,Chemistry,0
Person2047,3.14,1500,Bachelor,USA,Computer Science,Scholarship2047,Merit-Based,2000,Bachelor,UK,Finance,0
Person283,3.93,9500,Bachelor,Australia,Finance,Scholarship283,Merit-Based,4000,Bachelor,USA,Medical Research,0
Person2873,3.61,7000,PhD,UK,Fine Arts,Scholarship2873,Merit-Based,500,Master,Canada,Finance,0
Person2263,3.88,8000,Bachelor,UK,Medical Science,Scholarship2263,Merit-Based,8500,PhD,Canada,Chemistry,0
Person955,2.74,1500,Master,Canada,Computer Science,Scholarship955,Merit-Based,7500,Master,USA,Finance,0
Person1222,2.74,8500,PhD,USA,Physics,Scholarship1222,Merit-Based,7000,Master,UK,Medical Science,0
Person2952,3.9,6000,PhD,Australia,Chemistry,Scholarship2952,Merit-Based,7000,Bachelor,UK,Business Administration,0
