Scholarship_Name,Scholarship_Type,Required_GPA,Scholarship_Budget,Scholarship_Level,Country_of_Scholarship,Eligible_Domain
Scholarship0,Merit-Based,2.0,8000.0,PhD,Pakistan,Fine Arts
Scholarship1,Merit-Based,3.0,5000.0,Masters,Pakistan,Fine Arts
Scholarship2,Merit-Based,3.0,6500.0,Masters,UK,Software Engineering
Scholarship3,Need-Based,2.0,1500.0,PhD,United Kingdom,Software Engineering
Scholarship4,Need-Based,2.5,7000.0,PhD,Canada,Medical Research
Scholarship5,Merit-Based,3.0,4000.0,BS,Canada,Medical Science
Scholarship6,Merit-Based,3.0,1000.0,BS,USA,Chemistry
Scholarship7,Need-Based,2.0,7500.0,BS,Canada,CS
Scholarship8,Merit-Based,2.0,2500.0,Masters,USA,Finance
Scholarship9,Merit-Based,2.0,7000.0,Masters,United Kingdom,History
Scholarship10,Need-Based,3.0,2500.0,Masters,UK,Computer Science
Scholarship11,Need-Based,2.5,2500.0,Masters,USA,Fine Arts
Scholarship12,Merit-Based,3.0,500.0,BS,United Kingdom,SE
Scholarship13,Need-Based,2.5,5500.0,PhD,UK,Chemistry
Scholarship14,Merit-Based,2.5,5500.0,BS,United Kingdom,Chemistry
Scholarship15,Merit-Based,2.5,7500.0,PhD,USA,CS
Scholarship16,Need-Based,2.0,6000.0,BS,UK,CS
Scholarship17,Need-Based,3.0,2000.0,Masters,Pakistan,Electrical Engineering
Scholarship18,Need-Based,2.5,6000.0,Masters,United States,Software Engineering
Scholarship19,Merit-Based,3.0,3500.0,BS,United States,Business Administration
Scholarship20,Merit-Based,2.0,9500.0,BS,UK,Chemistry
Scholarship21,Merit-Based,2.0,5000.0,PhD,United States,Medical Research
Scholarship22,Merit-Based,2.0,2500.0,PhD,USA,Software Engineering
Scholarship23,Merit-Based,2.0,9000.0,BS,Pakistan,CS
Scholarship24,Merit-Based,3.0,8000.0,PhD,USA,CS
Scholarship25,Need-Based,2.5,1500.0,BS,Canada,History
Scholarship26,Merit-Based,3.0,2000.0,Masters,Canada,Computer Science
Scholarship27,Need-Based,2.0,6000.0,Masters,Canada,Fine Arts
Scholarship28,Need-Based,2.0,5500.0,Masters,UK,Finance
Scholarship29,Need-Based,2.0,9500.0,BS,UK,Business Administration
Scholarship30,Merit-Based,3.0,3500.0,PhD,USA,Medical Research
Scholarship31,Merit-Based,2.0,3500.0,BS,Australia,Medical Research
Scholarship32,Need-Based,2.0,1500.0,Masters,United Kingdom,Physics
Scholarship33,Need-Based,2.0,1500.0,BS,Australia,Fine Arts
Scholarship34,Merit-Based,2.5,4500.0,BS,United Kingdom,Electrical Engineering
Scholarship35,Merit-Based,2.0,9500.0,BS,United Kingdom,CS
Scholarship36,Merit-Based,2.5,1000.0,BS,United Kingdom,CS
Scholarship37,Need-Based,3.0,6000.0,PhD,Canada,Computer Science
Scholarship38,Need-Based,2.0,2000.0,Masters,UK,Business Administration
Scholarship39,Merit-Based,3.0,9000.0,PhD,Canada,CS
