Name,CGPA,Budget_Prefrence,Education_Level,Country_Preference,Domain_Area
Person0,3.09,3000.0,PhD,USA,Business Administration
Person1,2.73,5000.0,PhD,UK,Medical Science
Person2,3.21,1000.0,Master,UK,Business Administration
Person3,2.87,6000.0,Master,Australia,Computer Science
Person4,3.5,9000.0,Master,Canada,Computer Science
Person5,2.7,3500.0,Bachelor,Australia,Physics
Person6,2.69,500.0,Master,Australia,Medical Research
Person7,3.77,500.0,Bachelor,Australia,Electrical Engineering
Person8,2.87,500.0,PhD,Canada,History
Person9,3.64,7500.0,PhD,UK,Chemistry
Person10,2.72,3000.0,PhD,USA,Finance
Person11,2.67,500.0,PhD,Canada,Medical Research
Person12,3.35,2500.0,Bachelor,UK,Fine Arts
Person13,2.8,2000.0,Master,UK,Finance
Person14,3.32,4000.0,PhD,Australia,Business Administration
Person15,3.99,7000.0,PhD,USA,Medical Science
Person16,3.65,8000.0,Master,Canada,History
Person17,3.7,6500.0,Master,Canada,Physics
Person18,2.9,5500.0,Master,Australia,Medical Science
Person19,3.04,2000.0,Master,Australia,Fine Arts
Person20,3.98,3000.0,Bachelor,UK,Physics
Person21,3.69,1500.0,Master,UK,Business Administration
Person22,2.96,8000.0,PhD,UK,Computer Science
Person23,3.23,2500.0,Bachelor,Canada,Chemistry
Person24,3.48,2000.0,Master,USA,Medical Science
Person25,4.0,7500.0,PhD,UK,Fine Arts
Person26,3.56,8000.0,PhD,UK,Chemistry
Person27,3.13,8500.0,Bachelor,UK,Electrical Engineering
Person28,3.03,8500.0,Bachelor,Australia,Business Administration
Person29,2.75,4000.0,PhD,UK,Physics
Person30,3.03,2500.0,Bachelor,Australia,Finance
Person31,3.76,6000.0,PhD,USA,History
Person32,3.33,9000.0,Bachelor,USA,Medical Science
Person33,3.93,3000.0,Bachelor,UK,Finance
Person34,3.78,500.0,Master,Australia,Physics
Person35,3.86,7000.0,PhD,USA,Business Administration
Person36,3.48,3500.0,Bachelor,Australia,Physics
Person37,2.98,500.0,Bachelor,UK,Medical Research
Person38,3.69,6500.0,PhD,UK,Business Administration
Person39,3.62,4000.0,Bachelor,Canada,Medical Research
Person40,3.53,1000.0,Master,Australia,Finance
Person41,2.84,5000.0,PhD,UK,History
Person42,3.3,500.0,PhD,Canada,Medical Science
Person43,3.72,5500.0,Bachelor,USA,Chemistry
Person44,3.09,7000.0,Bachelor,Australia,Medical Science
Person45,3.64,7000.0,Master,Australia,Medical Research
Person46,2.59,8000.0,PhD,USA,Medical Science
Person47,2.67,7500.0,Bachelor,UK,Computer Science
Person48,3.48,7000.0,Master,Australia,Medical Science
Person49,2.96,5500.0,Bachelor,Australia,Physics
Person50,2.94,4000.0,PhD,UK,Business Administration
Person51,3.75,4500.0,PhD,UK,History
Person52,3.97,6500.0,PhD,Canada,Physics
Person53,3.94,3500.0,PhD,UK,Chemistry
Person54,2.65,6500.0,PhD,Canada,Chemistry
Person55,2.88,2000.0,Master,USA,Business Administration
Person56,3.32,5500.0,Master,Canada,Finance
Person57,3.53,3500.0,Master,UK,History
Person58,3.03,9500.0,PhD,USA,Medical Science
Person59,3.0,8500.0,Master,USA,Fine Arts
Person60,3.04,9000.0,Master,UK,Electrical Engineering
Person61,2.78,9000.0,Bachelor,UK,Finance
Person62,2.81,500.0,PhD,USA,Medical Science
Person63,2.68,4000.0,Bachelor,Canada,Medical Science
Person64,3.37,500.0,PhD,USA,Computer Science
Person65,2.65,4000.0,Bachelor,UK,Chemistry
Person66,2.66,6500.0,Master,Australia,Medical Research
Person67,2.54,3000.0,PhD,Australia,Finance
Person68,3.63,500.0,Bachelor,UK,Computer Science
Person69,3.38,9500.0,PhD,Canada,Fine Arts
Person70,3.23,1500.0,PhD,USA,Medical Science
Person71,2.78,1000.0,PhD,UK,History
Person72,3.25,2500.0,PhD,Canada,Medical Science
Person73,3.13,5500.0,Master,UK,Medical Research
Person74,2.82,9500.0,Master,UK,Medical Research
Person75,2.64,9500.0,Master,USA,Medical Research
Person76,2.92,5500.0,Master,USA,Computer Science
Person77,2.99,6000.0,Master,Australia,History
Person78,3.09,4500.0,PhD,Canada,Fine Arts
Person79,3.39,8000.0,Bachelor,UK,Medical Research
Person80,3.12,5500.0,PhD,Canada,Medical Science
Person81,3.86,7000.0,Bachelor,Australia,Finance
Person82,2.96,2000.0,PhD,Australia,Finance
Person83,3.52,2500.0,Bachelor,Canada,Medical Science
Person84,3.25,7000.0,Master,Canada,Electrical Engineering
Person85,3.19,8500.0,Master,USA,History
Person86,3.04,5000.0,Bachelor,Canada,Computer Science
Person87,3.38,4000.0,Bachelor,Canada,Medical Science
Person88,3.76,7000.0,Master,Australia,Medical Science
Person89,3.75,8500.0,PhD,Australia,Medical Research
Person90,2.61,2500.0,PhD,Canada,Business Administration
Person91,3.98,5000.0,Bachelor,USA,Chemistry
Person92,3.27,500.0,Master,UK,Finance
Person93,3.2,500.0,Bachelor,UK,Business Administration
Person94,2.78,5500.0,PhD,Canada,Medical Science
Person95,2.75,4500.0,Bachelor,USA,Business Administration
Person96,2.7,3500.0,Master,Canada,Medical Research
Person97,3.15,8500.0,Master,USA,Electrical Engineering
Person98,2.54,3000.0,Bachelor,Australia,Chemistry
Person99,2.68,9500.0,Bachelor,Australia,Medical Science
Person100,2.89,4500.0,Master,USA,Chemistry
Person101,3.17,5500.0,PhD,UK,Chemistry
Person102,2.53,5000.0,PhD,Australia,Fine Arts
Person103,3.61,8000.0,PhD,Canada,Fine Arts
Person104,3.15,1000.0,Master,Australia,Medical Science
Person105,3.82,1500.0,Master,UK,Electrical Engineering
Person106,3.18,6500.0,Master,Canada,Finance
Person107,3.52,3500.0,PhD,Australia,Chemistry
Person108,2.93,3500.0,Master,Canada,Finance
Person109,3.78,5500.0,Bachelor,Canada,Finance
Person110,3.33,9500.0,PhD,UK,Medical Research
Person111,3.49,7500.0,Bachelor,USA,Electrical Engineering
Person112,3.32,8000.0,Master,Australia,Computer Science
Person113,3.25,4000.0,PhD,Canada,Chemistry
Person114,3.51,1500.0,Bachelor,USA,Fine Arts
Person115,3.19,2000.0,Bachelor,UK,Computer Science
Person116,3.59,7500.0,Master,Canada,Chemistry
Person117,2.98,6000.0,PhD,USA,Computer Science
Person118,3.16,8000.0,PhD,USA,Chemistry
Person119,2.61,500.0,PhD,UK,History
Person120,3.62,9500.0,PhD,Australia,Physics
Person121,3.33,6500.0,Bachelor,UK,Finance
Person122,2.89,5000.0,PhD,UK,Medical Science
Person123,3.62,9000.0,Master,USA,Electrical Engineering
Person124,3.3,5500.0,PhD,Australia,Chemistry
Person125,3.54,500.0,Bachelor,USA,Medical Research
Person126,3.93,2500.0,Master,Australia,Chemistry
Person127,3.64,4500.0,Bachelor,Australia,Fine Arts
Person128,2.78,4500.0,Bachelor,USA,Fine Arts
Person129,3.3,3000.0,PhD,Canada,Electrical Engineering
Person130,3.89,500.0,PhD,UK,Chemistry
Person131,3.64,3000.0,PhD,Australia,Electrical Engineering
Person132,3.13,6000.0,PhD,UK,Medical Science
Person133,3.7,3500.0,Master,Australia,Physics
Person134,3.1,7000.0,PhD,Canada,Computer Science
Person135,3.36,5000.0,Bachelor,Canada,Electrical Engineering
Person136,3.24,6000.0,Bachelor,UK,Finance
Person137,3.39,8000.0,Master,USA,Physics
Person138,3.29,2000.0,PhD,USA,History
Person139,3.16,3000.0,Master,USA,Physics
Person140,2.83,6500.0,PhD,Canada,Finance
Person141,3.94,8000.0,Bachelor,UK,Computer Science
Person142,3.94,7000.0,Bachelor,Australia,History
Person143,3.33,6500.0,Bachelor,Australia,Computer Science
Person144,2.81,5000.0,PhD,UK,Finance
Person145,3.3,2000.0,Master,UK,Finance
Person146,3.85,3500.0,Bachelor,Australia,Medical Research
Person147,3.2,6500.0,PhD,Australia,Medical Science
Person148,3.38,2500.0,Master,Canada,Medical Research
Person149,3.8,8500.0,Bachelor,UK,History
Person150,3.07,1000.0,Bachelor,USA,Computer Science
Person151,2.82,8500.0,Master,USA,Chemistry
Person152,3.6,2000.0,Master,Canada,Business Administration
Person153,3.28,6500.0,PhD,USA,Chemistry
Person154,2.83,1000.0,Master,USA,Electrical Engineering
Person155,3.41,4500.0,PhD,Australia,Medical Research
Person156,3.58,1500.0,Bachelor,Australia,Medical Research
Person157,3.42,2000.0,Master,Canada,Computer Science
Person158,3.41,4500.0,Bachelor,USA,Medical Research
Person159,3.09,7000.0,PhD,USA,Medical Research
Person160,3.18,2500.0,Bachelor,USA,Physics
Person161,3.21,2000.0,PhD,Canada,Electrical Engineering
Person162,3.44,4500.0,Master,Canada,Medical Science
Person163,2.75,1000.0,Master,USA,Electrical Engineering
Person164,3.43,2500.0,Bachelor,UK,Medical Science
Person165,2.8,3000.0,PhD,USA,Medical Science
Person166,2.9,9500.0,Master,Canada,Computer Science
Person167,2.67,1000.0,Master,UK,Medical Research
Person168,3.95,2000.0,Master,Australia,Chemistry
Person169,3.53,1000.0,PhD,USA,Finance
Person170,2.56,5500.0,PhD,UK,Business Administration
Person171,3.38,500.0,Master,Australia,Chemistry
Person172,2.68,1000.0,Bachelor,USA,Business Administration
Person173,3.32,4500.0,Master,UK,Medical Science
Person174,3.67,4000.0,Master,UK,Medical Science
Person175,3.28,3500.0,PhD,UK,Finance
Person176,3.25,8500.0,Bachelor,Canada,Business Administration
Person177,2.55,3000.0,Bachelor,Canada,Medical Research
Person178,3.95,5500.0,Master,UK,Medical Science
Person179,3.75,5000.0,Master,USA,Fine Arts
Person180,2.81,3500.0,Bachelor,USA,Computer Science
Person181,2.57,3000.0,Bachelor,Australia,Computer Science
Person182,3.9,500.0,Master,Australia,Computer Science
Person183,3.48,3500.0,Bachelor,UK,History
Person184,2.98,1500.0,Bachelor,Canada,Fine Arts
Person185,3.85,1500.0,Master,Canada,Medical Science
Person186,3.26,3500.0,Master,USA,Electrical Engineering
Person187,3.79,9500.0,PhD,Australia,Fine Arts
Person188,2.87,6500.0,PhD,UK,Medical Science
