Name,CGPA,Budget_Prefrence,Education_Level,Country_Preference,Domain_Area
Person0,3.97,3500.0,Bachelor,Canada,Medical Research
Person1,3.05,7500.0,Master,USA,Chemistry
Person2,3.85,2500.0,Master,Canada,Electrical Engineering
Person3,3.03,2000.0,Bachelor,Australia,Physics
Person4,3.8,3500.0,PhD,Canada,Business Administration
Person5,3.28,2500.0,Bachelor,USA,Business Administration
Person6,3.31,500.0,PhD,Australia,Electrical Engineering
Person7,3.16,9500.0,PhD,Australia,Medical Research
Person8,3.18,4500.0,Bachelor,UK,Business Administration
Person9,3.04,5000.0,PhD,UK,Electrical Engineering
Person10,2.54,3500.0,Bachelor,Australia,Finance
Person11,3.7,4000.0,Bachelor,Australia,History
Person12,2.55,8000.0,Master,Canada,Fine Arts
Person13,2.73,5500.0,PhD,Canada,Business Administration
Person14,2.93,6000.0,PhD,UK,History
Person15,3.79,1000.0,PhD,Australia,Electrical Engineering
Person16,3.38,3500.0,Bachelor,Australia,Medical Research
Person17,2.52,3500.0,PhD,Canada,Finance
Person18,3.31,1500.0,Bachelor,USA,Finance
Person19,3.0,8500.0,PhD,Australia,Physics
Person20,3.7,2500.0,Master,UK,History
Person21,3.83,8500.0,PhD,USA,Fine Arts
Person22,3.89,500.0,Master,Australia,Finance
Person23,2.89,3000.0,Master,Canada,Chemistry
Person24,2.96,1500.0,PhD,Canada,Electrical Engineering
Person25,2.87,7500.0,Master,UK,Electrical Engineering
Person26,2.72,8500.0,Master,Australia,Computer Science
Person27,3.83,5500.0,Bachelor,Australia,Chemistry
Person28,2.69,5000.0,PhD,UK,Fine Arts
Person29,3.56,9500.0,PhD,USA,Fine Arts
Person30,3.25,6500.0,PhD,USA,History
Person31,3.22,1500.0,Master,Australia,Business Administration
Person32,2.64,2000.0,Master,USA,Physics
Person33,3.61,2500.0,Master,Australia,Finance
Person34,2.68,4000.0,Master,USA,Chemistry
Person35,3.74,3500.0,Master,Australia,Medical Science
Person36,3.95,6000.0,Bachelor,Canada,Fine Arts
Person37,3.3,7500.0,Master,USA,Computer Science
Person38,3.88,3500.0,Bachelor,Canada,Fine Arts
Person39,3.91,4500.0,PhD,UK,Chemistry
Person40,2.98,500.0,Bachelor,Canada,Medical Research
Person41,2.62,8000.0,Master,UK,Medical Science
Person42,2.7,7000.0,PhD,Australia,Electrical Engineering
Person43,2.74,2500.0,PhD,Canada,Fine Arts
Person44,3.73,1500.0,Bachelor,Australia,Chemistry
Person45,3.81,6000.0,Master,Canada,Finance
Person46,2.98,2500.0,PhD,Canada,Finance
Person47,3.18,3000.0,Bachelor,UK,History
Person48,2.6,8500.0,Master,Australia,Physics
Person49,3.09,8000.0,PhD,Australia,Chemistry
Person50,3.93,8500.0,Master,Australia,Chemistry
Person51,2.75,8500.0,Master,Canada,Physics
Person52,3.82,8500.0,Bachelor,Australia,Chemistry
Person53,3.62,3500.0,PhD,USA,History
Person54,3.47,3500.0,Bachelor,Canada,Fine Arts
Person55,3.23,2000.0,PhD,Australia,Medical Research
Person56,3.31,3500.0,Bachelor,Australia,Business Administration
Person57,3.46,4500.0,Bachelor,Canada,Business Administration
Person58,3.74,1000.0,Bachelor,Canada,Business Administration
Person59,3.93,1000.0,PhD,UK,History
Person60,3.38,5000.0,Master,USA,Medical Science
Person61,3.99,3500.0,Master,USA,Medical Science
Person62,3.37,7500.0,PhD,USA,Chemistry
Person63,3.23,6500.0,Master,Canada,Finance
Person64,3.35,1500.0,Master,USA,Fine Arts
Person65,3.94,1500.0,Bachelor,UK,Chemistry
Person66,3.79,8500.0,PhD,USA,Chemistry
Person67,4.0,5500.0,Bachelor,Canada,Chemistry
Person68,2.53,500.0,Bachelor,USA,Medical Research
Person69,2.76,1000.0,Bachelor,Canada,Fine Arts
Person70,2.58,8500.0,Bachelor,UK,Computer Science
Person71,2.69,9500.0,Master,Australia,Chemistry
Person72,3.15,6000.0,Bachelor,UK,Finance
Person73,3.44,9000.0,Bachelor,UK,Business Administration
Person74,3.98,500.0,Bachelor,Canada,Physics
Person75,3.51,3000.0,PhD,Australia,Chemistry
Person76,2.66,7000.0,Bachelor,USA,Electrical Engineering
Person77,2.99,4000.0,Master,USA,Electrical Engineering
Person78,2.73,8000.0,PhD,UK,Fine Arts
Person79,2.98,2000.0,Master,USA,Business Administration
Person80,3.94,2000.0,Master,Australia,Chemistry
Person81,2.87,8000.0,Bachelor,USA,Chemistry
Person82,2.95,3000.0,Master,UK,Medical Research
Person83,3.3,5500.0,Bachelor,UK,Chemistry
Person84,3.3,7000.0,Master,Australia,Finance
Person85,3.0,7000.0,PhD,USA,Fine Arts
Person86,2.97,9000.0,Bachelor,Australia,Finance
Person87,3.48,5000.0,PhD,Canada,Medical Science
Person88,3.84,2000.0,Bachelor,UK,Medical Science
Person89,3.15,6500.0,PhD,Australia,Medical Science
Person90,2.98,3500.0,PhD,Canada,Finance
Person91,3.75,2500.0,Master,USA,Electrical Engineering
Person92,2.78,500.0,Master,USA,Medical Research
Person93,3.16,3000.0,Bachelor,UK,Medical Research
Person94,2.71,5500.0,Bachelor,UK,History
Person95,3.86,5000.0,PhD,USA,Finance
Person96,3.98,7500.0,Bachelor,Canada,History
Person97,2.67,2500.0,Master,UK,Business Administration
Person98,3.92,7000.0,Master,Australia,History
Person99,3.81,9500.0,Bachelor,UK,Chemistry
Person100,3.05,4000.0,Master,USA,Finance
Person101,2.84,3000.0,Bachelor,Australia,Chemistry
Person102,3.77,2500.0,Bachelor,USA,Finance
Person103,3.09,7000.0,Bachelor,Canada,Medical Research
Person104,2.69,7000.0,Master,Australia,Chemistry
Person105,2.92,2000.0,PhD,UK,Medical Research
Person106,3.4,5500.0,Bachelor,Australia,History
Person107,3.05,8500.0,Bachelor,UK,Medical Science
Person108,3.65,5000.0,Bachelor,USA,Medical Science
Person109,3.32,8000.0,Bachelor,USA,Electrical Engineering
Person110,3.71,4500.0,Master,USA,Medical Science
Person111,3.78,9500.0,PhD,Australia,Medical Science
Person112,3.02,9500.0,Bachelor,USA,Electrical Engineering
Person113,2.59,3000.0,Master,USA,Electrical Engineering
Person114,3.26,500.0,Bachelor,USA,History
Person115,3.44,5500.0,Bachelor,Australia,Fine Arts
